Volcano Number,Volcano Name,Country,Volcanic Region Group,Volcanic Region,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
223001,Fort Portal,Uganda,Eastern Africa Volcanic Regions,Albertine Rift Volcanic Province,Cluster,Volcanic field,Eruption Dated,-2120,0.7,30.25,1615,Rift zone / Continental crust (>25 km),Foidite, , , , , , , , , ,242914,242914,498815,4167189
320010,Fort Selkirk,Canada,North America Volcanic Regions,Northern Cordilleran Volcanic Province,Cluster,Volcanic field,Evidence Uncertain,Unknown,62.93,-137.38,1239,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , ,6,6,6,491
233020,"Fournaise, Piton de la",France,Somalian-Antarctic Volcanic Regions,Reunion Hotspot Volcano Group,Shield,Shield,Eruption Observed,2023,-21.244,55.708,2632,Intraplate / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,55859,55859,246792,717820
373070,Fremrinamar,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Composite,Stratovolcano,Eruption Dated,-1200,65.416,-16.666,970,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,0,0,476,19143
312010,Frosty,United States,North America Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,55.067,-162.835,1728,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,67,1153
342090,Fuego,Guatemala,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2024,14.473,-90.88,3763,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,1373,54332,1016339,7677809
383050,Fuerteventura,Spain,Northern Africa Volcanic Regions,Canary Volcanic Province,Cluster,Fissure vent(s),Evidence Credible,Unknown,28.358,-14.02,529,Intraplate / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Foidite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,1432,8752,52038,226781
283030,Fujisan,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1708,35.361,138.728,3776,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Dacite, , , ,570,1759,906969,25022187
282091,Fukue,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Cluster,Volcanic field,Eruption Dated,-400,32.657,128.849,315,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt, , , , , , , , , ,18334,40407,61450,704523
382100,Furnas,Portugal,Atlantic Ocean Volcanic Regions,Azores-Terceira Rift Volcanic Province,Composite,Stratovolcano,Eruption Observed,1630,37.77,-25.32,805,Rift zone / Oceanic crust (< 15 km),Trachyte / Trachydacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,1333,7310,87865,153182
221150,Gabillema,Ethiopia,Eastern Africa Volcanic Regions,Main Ethiopian Rift Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,11.08,41.27,1459,Rift zone / Intermediate crust (15-25 km),Rhyolite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,248,772,12626,373968
221050,Gada Ale,Ethiopia,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,13.975,40.408,287,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , , , ,101,605,4827,618972
334070,Galapagos Rift,Ecuador,Eastern Pacific Volcanic Regions,Galapagos Rift Volcanic Province,Cluster,Fissure vent(s),Eruption Observed,1996,0.792,-86.15,-2430,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
351080,Galeras,Colombia,South America Volcanic Regions,Northern Andean Volcanic Arc,Composite,Complex,Eruption Observed,2014,1.22,-77.37,4276,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,705,120817,630777,1700248
255062,Gallego,Solomon Islands,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Cluster,Volcanic field,Evidence Uncertain,Unknown,-9.35,159.73,1000,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite, , , , , , , , , ,10017,10017,81587,169626
263140,Galunggung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1984,-7.25,108.058,2168,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Rhyolite, , , , ,4781,66495,2382939,23897342
268060,Gamalama,Indonesia,Western Pacific Volcanic Regions,Halmahera Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2018,0.81,127.3322,1714,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,103429,204820,308691,536972
300210,Gamchen,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Complex,Eruption Dated,-550,54.974,160.703,2539,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,382,3829
268040,Gamkonora,Indonesia,Western Pacific Volcanic Regions,Halmahera Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2007,1.38,127.53,1635,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite, , , , , , , , , ,3354,12744,61376,627128
