Volcano Number,Volcano Name,Country,Volcanic Region Group,Volcanic Region,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
283001,Abu,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Cluster,Volcanic field,Eruption Dated,-6850,34.4833,131.5167,641,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,3597,9594,117805,4071152
355096,Acamarachi,Chile,South America Volcanic Regions,Central Andean Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , , , , , , ,0,7,294,9092
342080,Acatenango,Guatemala,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1972,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778
321040,Adams,United States,North America Volcanic Regions,High Cascades Volcanic Arc,Composite,Stratovolcano,Eruption Dated,950,46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303
283170,Adatarayama,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1996,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,428,3936,717078,5024654
221170,Adwa,Ethiopia,Eastern Africa Volcanic Regions,Main Ethiopian Rift Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,10.063,40.831,1670,Rift zone / Intermediate crust (15-25 km),Rhyolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , ,101,485,18645,1242922
221110,Afdera,Ethiopia,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Rhyolite, , , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , ,51,6042,8611,161009
284160,Agrigan,United States,Northwest Pacific Volcanic Regions,Mariana Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1917,18.77,145.67,965,Subduction zone / Crustal thickness unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
342100,Agua,Guatemala,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,9890,114404,2530449,7441660
382090,Agua de Pau,Portugal,Atlantic Ocean Volcanic Regions,Azores-Terceira Rift Volcanic Province,Composite,Stratovolcano,Eruption Observed,1564,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,406,17272,113131,119653
358062,Aguilera,Chile,South America Volcanic Regions,Austral Andean Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-1253,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Dacite, , , , , , , , , ,0,0,103,5698
264020,Agung,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2019,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , , , , , , ,5657,76781,968381,4550176
284141,Ahyi,United States,Northwest Pacific Volcanic Regions,Mariana Volcanic Arc,Composite,Stratovolcano,Eruption Dated,2024,20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
282080,Aira,Japan,Western Pacific Volcanic Regions,Ryukyu Volcanic Arc,Caldera,Caldera,Eruption Observed,2024,31.5772,130.6589,1117,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,4918,113874,905254,2610033
300125,Akademia Nauk,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1996,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , ,3,3,615,12484
283130,Akagisan,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,36.56,139.193,1828,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,961,4538,1116366,16718375
285070,Akan,Japan,Northwest Pacific Volcanic Regions,Kuril Volcanic Arc,Caldera,Caldera,Eruption Observed,2008,43.384,144.013,1499,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,2062,2062,9756,929538
283230,Akita-Komagatake,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1971,39.761,140.799,1637,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,376,3864,216708,2521611
283260,Akita-Yakeyama,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1997,39.964,140.757,1366,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,127,721,55493,3122037
282022,Akusekijima,Japan,Western Pacific Volcanic Regions,Ryukyu Volcanic Arc,Composite,Stratovolcano(es),Evidence Uncertain,Unknown,29.465,129.594,555,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,52,52,199,749
311320,Akutan,United States,North America Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1992,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , ,0,24,233,4361
290390,Alaid,Russia,Northwest Pacific Volcanic Regions,Kuril Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2022,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,64,64,2887
221112,Alayta,Ethiopia,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Shield,Shield,Eruption Observed,1915,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,156,925,13459,330411
353040,Alcedo,Ecuador,Eastern Pacific Volcanic Regions,Galapagos Hotspot Volcano Group,Shield,Shield,Eruption Observed,1993,-0.43,-91.12,1130,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , ,Rhyolite,Dacite,Andesite / Basaltic Andesite, , ,290,290,388,10756
221090,Ale Bagu,Ethiopia,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Trachyte / Trachydacite,Rhyolite, , , , , , , ,2,919,8424,278270
221040,Alid,Eritrea,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , ,517,2447,25942,1216179
352031,Aliso,Ecuador,South America Volcanic Regions,Northern Andean Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-2450,-0.53,-78,4267,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,0,0,0,0
320020,Alligator Lake,Canada,North America Volcanic Regions,Northern Cordilleran Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,60.42,-135.42,2217,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,0,0,47,20636
342040,Almolonga,Guatemala,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1818,14.797,-91.519,3173,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,91323,287487,1126942,6828403
300450,Alney-Chashakondzha,Russia,Northwest Pacific Volcanic Regions,Central Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1600,56.656,159.647,2570,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Rhyolite,Dacite, , , ,0,0,3,10679
221060,Alu-Dalafilla,Ethiopia,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Cluster,Fissure vent(s),Eruption Observed,2008,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , ,0,9,11209,478054
221270,Aluto,Ethiopia,Eastern Africa Volcanic Regions,Main Ethiopian Rift Volcanic Province,Composite,Stratovolcano,Eruption Dated,1550,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , , ,6011,25619,314216,6813710
311390,Amak,United States,North America Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1796,55.4184,-163.1472,547,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,1345
268072,Amasing,Indonesia,Western Pacific Volcanic Regions,Halmahera Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,-0.5249,127.4956,1006,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite, , , , , , , , , ,59,803,26015,92417
257030,Ambae,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Shield,Shield,Eruption Observed,2024,-15.389,167.835,1496,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt, , , , , , , , , ,73,1279,4326,73308
273088,Ambalatungan Group,Philippines,Western Pacific Volcanic Regions,Taiwan-Luzon Volcanic Arc,Composite,Compound,Unrest / Holocene,Unknown,17.32,121.1,2329,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , , , , , , ,493,3803,55724,4652400
266020,Ambang,Indonesia,Western Pacific Volcanic Regions,Sangihe Volcanic Arc,Composite,Complex,Eruption Observed,2005,0.75,124.42,1795,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , , , , , , ,9155,46469,319137,1730602
254020,Ambitle,Papua New Guinea,Southwest Pacific Volcanic Regions,New Ireland Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-350,-4.08,153.65,450,Subduction zone / Crustal thickness unknown,Phono-tephrite /  Tephri-phonolite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , ,1643,9195,9779,24367
233011,Ambre-Bobaomby,Madagascar,Somalian-Antarctic Volcanic Regions,Northern Madagascar Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,-12.6,49.15,1475,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite,Phonolite,Foidite, , , , , ,20396,20396,51426,408436
257040,Ambrym,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Shield,Shield(pyroclastic),Eruption Observed,2024,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,9,186,10826,63999
234001,Amsterdam Island,France,Somalian-Antarctic Volcanic Regions,Amsterdam-St. Paul Hotspot Volcano Group,Composite,Stratovolcano,Evidence Credible,Unknown,-37.83,77.52,881,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
311190,Amukta,United States,North America Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1997,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
284200,Anatahan,United States,Northwest Pacific Volcanic Regions,Mariana Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2008,16.35,145.67,790,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,0,0,0,0
354004,Andahua-Orcopampa,Peru,South America Volcanic Regions,Central Andean Volcanic Arc,Cluster,Volcanic field,Eruption Dated,1490,-15.42,-72.33,4713,Subduction zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite, , , , ,Trachyte / Trachydacite, , , , ,10317,10317,16541,171897
390023,Andrus,Antarctica,Antarctic-Scotia Volcanic Regions,Western Antarctica Volcanic Province,Shield,Shield(s),Evidence Uncertain,Unknown,-75.8,-132.33,2978,Intraplate / Continental crust (>25 km),Trachyte / Trachydacite,Rhyolite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,0,0,0,0
312090,Aniakchak,United States,North America Volcanic Regions,Alaska Peninsula Volcanic Arc,Caldera,Caldera,Eruption Observed,1931,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , ,0,0,36,479
357153,Antillanca Volcanic Complex,Chile,South America Volcanic Regions,Southern Andean Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,-230,-40.783,-72.15,1979,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,87,521,5986,530586
352030,Antisana,Ecuador,South America Volcanic Regions,Northern Andean Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1802,-0.481,-78.141,5753,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,232,2220,56154,3314142
355180,Antofagasta Volcanic Field,Argentina,South America Volcanic Regions,Central Andean Volcanic Arc,Cluster,Volcanic field,Evidence Uncertain,Unknown,-26.12,-67.4,3495,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , , , , , , ,188,188,257,4295
357080,Antuco,Chile,South America Volcanic Regions,Southern Andean Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1869,-37.406,-71.349,2979,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,117,474,3872,381623
284060,Aogashima,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1785,32.458,139.759,423,Subduction zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,232,232,232,8559
358024,Apagado,Chile,South America Volcanic Regions,Southern Andean Volcanic Arc,Minor,Pyroclastic cone,Eruption Dated,-590,-41.88,-72.58,1210,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt, , , , , , , , , ,5,44,4474,354002
343010,Apaneca Range,El Salvador,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano(es),Evidence Credible,Unknown,13.872,-89.742,2028,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Rhyolite, , , , , ,11141,151502,1113282,6215853
343071,Apastepeque Field,El Salvador,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Cluster,Volcanic field,Evidence Credible,Unknown,13.72,-88.77,700,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,377730,377730,687849,6372608
271030,Apo,Philippines,Western Pacific Volcanic Regions,Cotabato Volcanic Arc,Composite,Stratovolcano,Unrest / Holocene,Unknown,6.989,125.269,2938,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,1355,5431,767800,7768291
344091,Apoyeque,Nicaragua,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Caldera,Caldera,Eruption Dated,-50,12.242,-86.342,518,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,2369,116718,1342581,3445854
355160,Aracar,Argentina,South America Volcanic Regions,Central Andean Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-24.29,-67.783,6095,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,94,4803
214060,Aragats,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,40.53,44.2,4095,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,0,163,150143,3046562
213040,Ararat,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Composite,Stratovolcano,Eruption Observed,1840,39.7,44.3,5165,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , ,25,1239,135563,2811646
221126,Ardoukoba,Djibouti,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Cluster,Fissure vent(s),Eruption Observed,1978,11.58,42.47,298,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , , , ,2895,2895,6898,560146
345033,Arenal,Costa Rica,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2010,10.463,-84.703,1670,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,3429,15643,96512,3027485
231090,"Arhab, Harra of",Yemen,Arabia-Central Asia Volcanic Regions,Southwest Arabia Volcanic Province,Cluster,Volcanic field,Eruption Observed,500,15.6025,44.0978,3100,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,284443,284443,820695,6517834
263290,Arjuno-Welirang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1952,-7.733,112.575,3343,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,2584,53983,4143137,25385433
305011,Arxan-Chaihe,China,Eastern Asia Volcanic Regions,Central East Asia Volcanic Province,Cluster,Volcanic field,Eruption Dated,0,47.45,120.8,1677,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt, , , , , , , , , ,6435,6435,6435,188163
300058,Asacha,Russia,Northwest Pacific Volcanic Regions,Kuril Volcanic Arc,Composite,Complex,Evidence Credible,Unknown,52.355,157.827,1910,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite,Rhyolite, , , ,0,0,34,238467
283110,Asamayama,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Complex,Eruption Observed,2019,36.406,138.523,2568,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,583,22371,457576,7629353
385050,Ascension,United Kingdom,Atlantic Ocean Volcanic Regions,Central Mid-Atlantic Rift Volcanic Province,Composite,Stratovolcano,Eruption Dated,1508,-7.95,-14.37,858,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , ,614,1149,1149,1149
231001,"Ash Shaam, Harrat",Syria-Jordan-Saudi Arabia,Arabia-Central Asia Volcanic Regions,Northern Arabia Volcanic Province,Cluster,Volcanic field,Eruption Observed,-2670,32.333,37.583,1100,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , ,276996,276996,276996,276996
304030,Ashikule Volcanic Field,China,Eastern Asia Volcanic Regions,Kunlun Fault Volcano Group,Cluster,Volcanic field,Eruption Observed,1951,35.742,81.646,5090,Intraplate / Continental crust (>25 km),Trachyte / Trachydacite, , , , , , , , , ,1253,1253,3212,22621
373060,Askja,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Composite,Stratovolcano,Eruption Observed,1961,65.033,-16.783,1080,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , ,Rhyolite, , , , ,0,0,0,13028
282110,Asosan,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Caldera,Caldera,Eruption Observed,2021,32.8849,131.085,1592,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,75559,75559,234591,6507519
221125,Assab Volcanic Field,Eritrea,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,12.95,42.43,987,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt, , , , , , , , , ,9,9,97,181952
282070,Ata,Japan,Western Pacific Volcanic Regions,Ryukyu Volcanic Arc,Caldera,Caldera(s),Eruption Observed,885,31.22,130.57,924,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , ,93134,93134,171590,1891380
352021,Atacazo,Ecuador,South America Volcanic Regions,Northern Andean Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-320,-0.353,-78.617,4463,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,449,212988,1837303,3769593
311160,Atka Volcanic Complex,United States,North America Volcanic Regions,Aleutian Ridge Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,2024,52.331,-174.139,1518,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite, , , , , , , ,0,0,207,207
320030,Atlin Volcanic Field,Canada,North America Volcanic Regions,Northern Cordilleran Volcanic Province,Cluster,Pyroclastic cone(s),Evidence Credible,Unknown,59.708,-133.358,1880,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Foidite, , , , ,0,0,94,956
341094,"Atlixcos, Los",Mexico,Middle America-Caribbean Volcanic Regions,Trans-Mexican Volcanic Arc,Shield,Shield,Evidence Credible,Unknown,19.81,-96.527,775,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,5792,13732,115456,2971490
357023,"Atuel, Caldera del",Argentina,South America Volcanic Regions,Southern Andean Volcanic Arc,Caldera,Caldera,Evidence Credible,Unknown,-34.592,-69.921,5189,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,297,297,1003,676916
241020,Auckland Volcanic Field,New Zealand,Tonga-Kermadec Volcanic Regions,Western North Island Volcanic Province,Cluster,Volcanic field,Eruption Dated,1446,-36.89,174.81,260,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , ,1049110,1049110,1222436,1446768
313010,Augustine,United States,North America Volcanic Regions,Alaska Peninsula Volcanic Arc,Composite,Lava dome(s),Eruption Observed,2006,59.3626,-153.435,1218,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , ,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , ,0,0,0,759
300100,Avachinsky,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2001,53.256,158.836,2717,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,0,180016,270205
331021,Axial Seamount,Undersea Features,Eastern Pacific Volcanic Regions,Northeast Pacific Rifts Volcanic Province,Cluster,Fissure vent(s),Eruption Observed,2015,45.95,-130,-1410,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
302070,Azas Plateau,Russia,Eastern Asia Volcanic Regions,Baikal Rift Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,52.433,98.303,2765,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt, , , , ,142,142,142,4532
357060,"Azul, Cerro",Chile,South America Volcanic Regions,Southern Andean Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1967,-35.653,-70.761,3788,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,9,158,3832,720948
353060,"Azul, Cerro",Ecuador,Eastern Pacific Volcanic Regions,Galapagos Hotspot Volcano Group,Shield,Shield,Eruption Observed,2008,-0.92,-91.408,1640,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,220,220,314,1936
283180,Azumayama,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1977,37.735,140.244,1949,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,128,907,548195,4877648
274030,Babuyan Claro,Philippines,Western Pacific Volcanic Regions,Taiwan-Luzon Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1924,19.524,121.95,1064,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,208,222,222,11819
322090,Bachelor,United States,North America Volcanic Regions,High Cascades Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-5800,43.979,-121.688,2763,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,18,24,22514,231420
255020,Bagana,Papua New Guinea,Southwest Pacific Volcanic Regions,Solomon Volcanic Arc,Composite,Lava cone,Eruption Observed,2024,-6.137,155.196,1855,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite, , , , , , , , , ,198,404,7861,115257
300123,Bakening,Russia,Northwest Pacific Volcanic Regions,Eastern Kamchatka Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-550,53.905,158.07,2278,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,0,10,1583,87139
